Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
X003a33f3.3658.4e60.967c.dc97b83c105c,0.000650164227462262,0,0.0155989981421718,0,0,0.277602592910383,0,0,0.0274447784677978,0,0.0588921423156021,0,0,0.371077077618831,0.1437262988082,0.105007947509553,0,0,0,0,0,0,0,0.257513247797132,1.00913637771689
X0133b9e4.884c.45f8.8bd0.e796d7058012,0.0310743485990707,0,0.00415961473814232,0.0456802007285863,0,0.273028162574028,0.0278274351692836,0,0,0,0.0916861244797387,0,0.0293361013367365,0.0927475314111156,0.219433822919984,0.146915551261045,0.0127441635282354,0,0.0253669432540336,0,0,0,0,0.450776921117591,0.894772625052237
X03f33c10.915f.4523.8871.1482aaff3549,0.00664842265043045,0,0.014911018470722,0,0,0.294594563256719,0,0.0359673644111334,0.00957423681726119,0,0.0673209581843168,0,0.00234098958586301,0.208762541614632,0.134336280226452,0.0371988084595604,0.00431960034960503,0.032947804931241,0,0.138687348481001,0.0123900625610615,0,0,0.283095091148344,0.982458571962275
X04303348.e957.474f.9667.0f36ee8cbbf6,0,0.0114897289825483,0,0.0427889971515639,0,0.156644667492595,0,0.0533319171433162,0.0239846335855947,0,0.00240790786446554,0,0.0140198786563698,0.270434317373671,0,0.153315614186506,0,0.152635371326892,0,0.108765642054662,0,0.0101813241818154,0,0.00119220598000273,1.11679613081774
X0494838d.60cc.4bb8.8edd.f53f11238e51,0.0291344247682729,0,0.00487490252669863,0.118871319894534,0,0.166726504594377,0,0.0315114936391639,0.045314402268493,0,0.0700152503359567,0.0686385364513614,0.0100066959862091,0.0520482561753945,0.140438042992738,0.126962645961484,0.0423385358333797,0.0182620791668187,0.0748569094051183,0,0,0,0,0.353996813521802,0.942892839125295
X069ded62.6c9d.462c.8ae7.dde7437e5d7d,0.00324942149141061,0,0.00662902679434919,0.0533118733345345,0,0.30173156848089,0.064733290885168,0,0.00704647447542092,0,0.108209953944528,0,0.00930662205365379,0.13226586611369,0.122112544421401,0.0968344507734482,0,0.0685845212028064,0.0224990548230903,0,0,0.00348533120561018,0,0.387425343141448,0.925837509958403
X06a08433.a734.4fb6.b300.e4bb50209bca,0.0842635960904521,0,0.0204743826469652,0.0150376202812401,0,0.177771429542128,0,0.0354498148017549,0.0670333066293446,0,0.00720035161849141,0.00998490466837733,0.0153686030582953,0.241270329157117,0.125171664038256,0.0979369375878712,0.0519780451042664,0,0.051059014775441,0,0,0,0,0.10216756142885,1.05349247441879
X06f89bc6.2e97.4bfa.989c.4934e7f28f05,0.00272874261778899,0,0.0284742240694786,0,0,0.226670998053847,0,0.077163566423499,0.0774806505770506,0,0.0275338164587351,0.0196534236925404,0.0483613976600852,0.222821268543257,0.0611593427799245,0.0857741311857592,0.0070570846049439,0,0.100401229198103,0,0.014720124134988,0,0,0.0209012154152518,1.07772106243392
X07458e60.4784.4ba5.963c.a9acb12444e0,0.013261825057752,0,0.0152652184840989,0.00687618122408011,0.0733771610052762,0.26187945848967,0,0,0,0,0.050853867553565,0,0.0189499873550804,0.39368278392168,0.0397778676098347,0,0,0.0890634138622331,0,0.0370122354367292,0,0,0,0.563264252559406,0.826558036490836
X085f785f.2814.4a18.98df.972590b6f709,0.045301840080668,0,0.0335349976119562,0.058159049822902,0,0.197303594929818,0.0172396369886574,0.0448824744902021,0.0276565964475742,0,0.114188361550985,0,0,0.201026830751198,0.0844806997500624,0.104667685949672,0,0.0627998328549475,0.00206500616690359,0,0,0.00669339260445302,0,0.102177400144958,1.05583970148058
X08c7a80d.8171.445e.ba07.d3fd28207d72,0.0788965409370758,0,0.0302395160840513,0.0024563695014284,0,0.437454115387656,0,0,0,0,0.0592624645141667,0,0,0.164275355750908,0.0597040317053161,0.0921438910892073,0,0.0454818474108083,0.0300858676193819,0,0,0,0,0.266588259480564,0.980241166955965
X09414789.ca82.4bf6.bd19.e3b5f3d03147,0.000208478031777281,0.011660566195829,0,0.0699517933187265,0,0.184932166479891,0.018064636832402,0.0771849954649996,0.0563797146790501,0,0.0592407737955407,0,0.00911755127707209,0.0274396339441025,0.210163785338513,0.100780373680736,0,0.133749698002739,0.0357455488326574,0,0,0.00538028412596383,0,0.339297400353287,0.965435573250008
X096fd4f5.1110.43a1.a3c6.0d9477af2c6d,0,0,0.0252756431221341,0.0150280060141912,0,0.191409543413077,0,0.0183806406735228,0,0,0,0.0820082044210664,0.0247301117265017,0.00928378944570642,0.0467773754385244,0.184167450672243,0,0.323484861699145,0.0794543733738879,0,0,0,0,0.282113067846852,0.986689298148337
X098f61ae.a7f9.42d4.9e02.7a035c498d32,0,0,0,0,0,0.25712252137249,0,0,0.00818178095371531,0,0.0507808747592224,0,0,0.557672550537764,0.0114332617871367,0.102686381486903,0,0.0121226291027684,0,0,0,0,0,0.466672010409181,0.901425479625414
X0a595371.0a31.47af.8ab5.9e06657f8e5e,0.0147116202238517,0,0.0457069903397711,0.126263388784581,0,0.134940472208769,0.0189808841625075,0.0424975907315328,0.0240546550759806,0,0,0.0641341506458813,0.0133963600148806,0.081862785624353,0.0654773513531465,0.134945247222998,0.111370268992897,0.0524952525834772,0.0691629820353724,0,0,0,0,0.0412324959899491,1.06356659812109
X0aae20cd.2601.4c12.a00f.d5f8bad66be5,0.0105977251952763,0,0,0.126337818002882,0,0.199902976459737,0.0347134884152025,0.0325280566977184,3.41937205874207e-05,0,0.0686666722925995,0,0.00915377092527096,0.0884917031354003,0.199937854841168,0.133465633824438,0.0243137223131748,0.00744194714575867,0.0644144370307867,0,0,0,0,0.458459667649352,0.889197731018659
X0aeb1520.4cbd.4813.8617.42cd30e0380b,0.0460419745144121,0.0192983291098241,0.184530105426071,0.0131549504853202,0,0.121438621740984,0,0.130830346780435,0.064254531863661,0,0.0418689413962861,0.0182190169712111,0.0247439961740017,0.0667107480970882,0.013260349155227,0.0846597972879211,0,0.0990542388736583,0.0719340521238988,0,0,0,0,0.0816843976578495,1.03766686992689
X0b856563.ca19.4b37.8a62.075e3e87e737,0.00454196484973841,0,0.025019770361367,0.0167864835243684,0,0.14198581143984,0,0.0471587773431433,0.00302498206973775,0,0.0577079957678116,0,0.0416144685011922,0.405480273818543,0.0106961000283945,0.148162944444871,0.0187740277595412,0.0413725478940828,0,0.0376738521973688,0,0,0,0.490518260114177,0.872607508790867
X0bd21617.3015.48ca.9446.93f72be95017,0.0307109720100424,0,0.134140377617024,0,0,0.305313411635462,0,0,0,0,0.0847403504431385,0,0.0118301859014188,0.272687056443609,0.0139241049206952,0.0740911883219636,0,0.031956206032679,0,0.0400536738492801,0.000552472824687428,0,0,0.15071141132847,1.03090891635626
X0bd6bed4.4187.44c5.affc.2b3f5d5c7e67,0,0,0.0309808530936912,0,0,0.40707423895256,0,0,0,0,0.071364976435405,0,0.0187552658137523,0.228408178318588,0,0.0698275926825278,0.034451800693522,0.0813551318794562,0,0.0542857580550861,0.0034962040754117,0,0,0.0316800133616736,1.08837074710179
X0be3caed.1b5b.4d6f.b0ad.a4cacd485e2d,0.0554711648345825,0,0.0257956027011327,0,0,0.282455077883071,0,0,0,0,0.0264369151260982,0.00699753153732256,0,0.359731755896549,0.00324919887489707,0.165353872588826,0.0477218002938898,0.00693321154750681,0.0154182934356363,0.0044355752804878,0,0,0,0.312449720544337,0.971223524413233
X0bf43782.fc2b.4a3a.ac9b.05e326020581,0,0,0.0025881492877964,0,0,0.257191230998146,0.00192533268726347,0,0,0,0.0769248901121092,0,0,0.333082579869282,0.0502586336447592,0.235134685004277,0,0.0394067667809855,0.00348773161538094,0,0,0,0,0.563433727852999,0.826068386971517
X0e4e0745.9574.4c33.aa7a.61421d007dab,0.00240753329052239,0,0,0.0658568931964331,0,0.234626541932524,0.0619127566792348,0.0130957563378874,0.00413238353469724,0,0.113128801819917,0,0,0.110174859766151,0.146961347838295,0.178600400544797,0.00229999581364434,0.0281552285444429,0.029643391195182,0,0,0.00900410950627282,0,0.377429513357166,0.931215029631143
X0e4fe560.21c7.40d2.9823.04097b42e78b,0.0353609665501125,0,0.0343800671128591,0.0228625662863379,0,0.367136071803987,0.0237187305040424,0,0,0,0.0635354943934429,0,0,0.130131603874092,0.216622651900947,0.0518578624927736,0.00468808416274722,0.0169738137783474,0.0299289701404018,0,0,0.00280311699990854,0,0.0278461767183826,1.11685442597374
X0eb11f4f.e9ae.464b.a8aa.61ece9300a23,0.00553570167079499,0,0.00725761864566907,0,0.00182813635524024,0.206857872741619,0,0.010842036956075,0.0217888600268163,0,0.00304343008798636,0.026330444314342,0.0104206646043529,0.432928518861048,0,0.119204279006143,0,0.106137731536492,0,0.0312092611216749,0.0166154440717473,0,0,0.307281705049462,0.985753096167988
X0ef54a23.f0e4.4f7b.83a1.d2923c638922,0.13692489265529,0,0.0274647946889814,0.0665128484003591,0,0.213266344241071,0,0.00557793112959991,0.105757185596671,0,0.0992602779126407,0,0.0514864042277494,0.054042833130776,0.0184917897588091,0.0323601362024621,0,0.0203232596959611,0,0.105296124533613,0,0.0632351778260154,0,0.0892629433471646,1.05336527523699
X0f9baaaf.6a08.45aa.a260.c17230f1e453,0.0298538557390728,0,0.00207248972505087,0,0,0.0551317314977956,0,0.0215728017120587,0.0532838149639398,0,0.064088825398387,0,0,0.583917784342299,0.0135074913839744,0.154591580049452,0.00314370838652809,0,0.0142137795944557,0.00426280134332948,0,0.000359335863656622,0,0.342245093225346,0.994294308225035
X10e8e323.cf3b.434c.859a.204b536c5458,0.0325707426342372,0,0.0130032435373716,0.115629020679681,0,0.196539613745459,0.123508488190286,0.0458731560677391,0.0410756343601856,0,0.099736798558026,0,0.0139871842281129,0.0475917810431146,0.133924572916883,0.0760895225169737,0,0.0422961453040778,0.0181740962178539,0,0,0,0,0.325674565414329,0.957444654430616
X11035726.5020.4883.b524.767cd6cde005,0.0592314735608365,0,0.0256276476454758,0.0561218355347149,0,0.127804845877964,0.00807623409755626,0.0610400527291376,0.048336059366398,0,0.0997439777507359,0,0.020483340036369,0.128671905859831,0.0846225060909908,0.119633314819748,0,0.123757971296635,0.0368488353336065,0,0,0,0,0.148441661729699,1.02965020165988
X1111cefb.edb0.4b87.ab49.3c22c4f896aa,0,0,0.0106503925640809,0.00366605430050681,0,0.208334857793117,0.00573866064939849,0,0.000692687724704412,0,0.0445629058356822,0,0,0.311169596803687,0.0191834682871847,0.268297244793338,0,0.103579745627876,0.0241243856204244,0,0,0,0,0.27835002640184,0.992022662810289
X11274e57.44c8.4933.8ecf.37cc1be5b129,0.0556873652418568,0.0298121810840098,0,0.00132760593428747,0,0.411534910939045,0.0239204323549644,0.0145950453506578,0.0275032269224929,0.0025833839225457,0.0122514339039598,0,0,0.152966396993034,0.180737111581777,0.0713471511489227,0,0.0157337546224466,0,0,0,0,0,0.520487503986817,0.853050421489326
X11432de6.8437.4cdb.b8fe.c247221122e3,0.000283379832451814,0,0.0478361728452107,0.0665962518594972,0,0.143722801723262,0.0135870535463957,0.0498129929855422,0.0235793481104003,0,0.0868741004981408,0.0149175865933454,0.00808806641159519,0.162091895139799,0.038486427374036,0.209951776470785,0.000699336320205723,0.106168462148795,0.0260590931627781,0,0,0.00124525497775878,0,0.122112213181396,1.04171330275496
X11547448.a38b.40ec.861a.6c54a60e740c,0,0,0.111492594279929,0,0,0.182123933157187,0,0.0196138749778507,0.0271073535775386,0,0.0733390316891512,0,0,0.300754767574568,0.0434087904355727,0.1928070929748,0,0.0241005580009544,0.0168471535365388,0.00840484979590915,0,0,0,0.0939061642925137,1.06504217022234
