"taxa","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test.var"
"d__Archaea",212.054714019339,0.0215850682800112,0.0226239541671067,0.954080269106715,0.34004301276765,0.34004301276765,"HPV"
"d__Bacteria",56429.3545419961,-0.206217123968423,0.0643524435057744,-3.20449562960137,0.00135299344452646,0.00270598688905292,"HPV"
"d__Eukaryota",101219758.448782,-0.0432927842085948,0.0197893175620778,-2.18768454610869,0.0286925885238917,0.0382567846985222,"HPV"
"d__Viruses",104492.31047446,1.20718160005681,0.118110386065334,10.2207912468345,1.60029237672679e-24,6.40116950690717e-24,"HPV"
"k__Fungi",5133.01278056647,-0.0514891508520512,0.0643479201860109,-0.800168066088402,0.423613429060878,0.896371851534436,"HPV"
"k__Metazoa",101712681.229343,-0.00517753395859085,0.00217571345361366,-2.3796947847114,0.0173269828760602,0.200120205180154,"HPV"
"k__unclassified-c__Candidatus",1.04568168258545,-0.0730117506630905,0.188934241996442,-0.386440011570086,0.699170822205814,0.998491744224241,"HPV"
"k__unclassified-f__Adenoviridae",120.412745167099,-0.0457490632518945,0.145582595063128,-0.314248164295029,0.753332564272287,0.998491744224241,"HPV"
"k__unclassified-f__Ascoviridae",1.04259410406962,0.00415743718969827,0.1861779981041,0.0223304430815378,0.982184364865506,0.998491744224241,"HPV"
"k__unclassified-f__Asfarviridae",1.0852369108763,0.0458509501174204,0.181105165063317,0.253173067159019,0.800134477964346,0.998491744224241,"HPV"
"k__unclassified-f__Baculoviridae",14.3589805066949,-0.0548693129012731,0.0649179560864408,-0.845210111486143,0.397993537765905,0.873914210868577,"HPV"
"k__unclassified-f__Bromoviridae",1.03404633911981,-0.0288072276768116,0.188176056628721,-0.153086573249058,0.878330004064443,0.998491744224241,"HPV"
"k__unclassified-f__Endornaviridae",1.10680466825005,-0.177240046634814,0.195789778188827,-0.905256894789863,0.365329306706229,0.83112417275667,"HPV"
"k__unclassified-f__Geminiviridae",1.03119518543589,0.0003541300823613,0.187338753477549,0.0018903194122285,0.998491744224241,0.998491744224241,"HPV"
"k__unclassified-f__Hepadnaviridae",1.15538524329354,-0.182687350912739,0.191383791316332,-0.954560204164739,0.339800150158636,0.83112417275667,"HPV"
"k__unclassified-f__Iridoviridae",1.02838291657425,-0.0187543400903082,0.188306532235996,-0.0995947398511075,0.920666070053592,0.998491744224241,"HPV"
"k__unclassified-f__Leviviridae",1.02272306287527,-0.00863098193576723,0.188443367606608,-0.0458014630357549,0.963468492702369,0.998491744224241,"HPV"
"k__unclassified-f__Marseilleviridae",1.07965074686026,-0.0593136391926639,0.185369465892211,-0.31997523921849,0.748987100811808,0.998491744224241,"HPV"
"k__unclassified-f__Microviridae",8.46597224141642,0.0612704244044471,0.0667098527046714,0.91846139543577,0.3583773608317,0.83112417275667,"HPV"
"k__unclassified-f__Mimiviridae",3.51136491138325,0.0640010434284568,0.100578219111455,0.63633104656123,0.524560673311379,0.955624015936975,"HPV"
"k__unclassified-f__Nimaviridae",1.07378359566428,0.0876623823040167,0.180581071160512,0.485446130874352,0.627359916073733,0.998491744224241,"HPV"
"k__unclassified-f__Nudiviridae",250.049902972432,0.204412218981704,0.0864626037671972,2.36416913295937,0.0180705606655923,0.200120205180154,"HPV"
"k__unclassified-f__Papillomaviridae",24806.7121270673,11.5729786995818,0.245061133394477,47.2248640136364,0,0,"HPV"
"k__unclassified-f__Phycodnaviridae",5.45999024795423,-0.00629311699852502,0.0817466946924261,-0.0769831370210505,0.938636959860937,0.998491744224241,"HPV"
"k__unclassified-f__Pithoviridae",1.0482787582992,0.0177889515935035,0.185186434560872,0.0960596905258533,0.923473165506968,0.998491744224241,"HPV"
"k__unclassified-f__Potyviridae",1.03135198604793,-0.0237925499966436,0.188252836623237,-0.126386143356029,0.899426270195994,0.998491744224241,"HPV"
"k__unclassified-f__Poxviridae",10.7546031765182,0.47582456420798,0.0790676737573296,6.01794060197542,1.76649985099109e-09,8.03757432200947e-08,"HPV"
"k__unclassified-f__Reoviridae",1.0227391338215,0.0155696938158098,0.187540955904007,0.0830202327846682,0.933835451712535,0.998491744224241,"HPV"
"k__unclassified-f__Tectiviridae",1.07677635056607,-0.00793135603805947,0.183739583111148,-0.0431662895047587,0.965568977106903,0.998491744224241,"HPV"
"k__unclassified-f__Tombusviridae",1.20142003368579,0.390124252382063,0.170321312359138,2.29051929543292,0.0219912313384785,0.200120205180154,"HPV"
"k__unclassified-f__Virgaviridae",1.10911659031728,0.0520266619508748,0.180504027558607,0.288229922925029,0.773170745059498,0.998491744224241,"HPV"
"k__unclassified-g__Pandoravirus",9.85804355405975,0.131970663474144,0.0822204414538216,1.60508337270683,0.108475457962315,0.520832214287982,"HPV"
"k__unclassified-g__Thermobaculum",1.20251089639377,0.00867766187942424,0.173816653922744,0.0499242258068158,0.960182771969825,0.998491744224241,"HPV"
"k__unclassified-g__Vampirococcus",1.14302746178711,-0.207593867798272,0.191250449082603,-1.08545558347218,0.277719925721082,0.765833734564197,"HPV"
"k__unclassified-o__Caudovirales",29973.3732274715,-0.162182119169976,0.124965348917516,-1.29781671939335,0.194350322952707,0.625918379625101,"HPV"
"k__unclassified-o__Herpesvirales",68.0104442517815,-0.173498548715015,0.111549718310161,-1.55534725988824,0.119863387519152,0.520832214287982,"HPV"
"k__unclassified-o__Ortervirales",53620.9993337203,0.0576447896319435,0.184569216758942,0.312320714386684,0.75479679905885,0.998491744224241,"HPV"
"k__unclassified-o__Picornavirales",1.03408735410416,0.0192109594309719,0.186382082998982,0.103072994581119,0.917905038045717,0.998491744224241,"HPV"
"k__unclassified-p__Acidobacteria",55.6842550449084,-0.135614064478851,0.084747926354901,-1.60020510603335,0.109553089799819,0.520832214287982,"HPV"
"k__unclassified-p__Actinobacteria",4579.46277879769,-0.0875885803733544,0.0610612279974197,-1.43443856676213,0.151447148486246,0.545851486693898,"HPV"
"k__unclassified-p__Apicomplexa",22795.1209616988,0.0166642695567813,0.0916419150774642,0.181841131786641,0.855707404112672,0.998491744224241,"HPV"
"k__unclassified-p__Aquificae",37.5514530621269,0.0631425615322093,0.105833526238634,0.596621541172454,0.550760086007722,0.98272878091574,"HPV"
"k__unclassified-p__Armatimonadetes",2.68282543071622,-0.139930500288727,0.121539913748898,-1.15131314456767,0.249603431410778,0.757130408612694,"HPV"
