"term","hazard.ratio","confint.low","confint.high","p.value","padj.FDR","samples.with.microbe","samples.without.microbe","pass.prevalence.split"
"Yersinia.pseudotuberculosis",3.87830841276086,2.02594955837073,7.424309298494,4.29519192078557e-05,0.0501420704832507,12,486,"Yes"
"Phaeobacter.sp..LSS9",2.53381682181591,1.50909461067925,4.25435730873592,0.000437527065727348,0.0794816354682576,26,472,"Yes"
"Reinekea.forsetii",3.01572211788046,1.58303600317965,5.74502403862339,0.000788301318882593,0.131466137094791,17,481,"Yes"
"Acinetobacter.sp..ACNIH1",1.83720702435767,1.28382955835114,2.62911040518822,0.000880084818448531,0.142695974591224,76,422,"Yes"
"Desulfallas.gibsoniae",2.14192062007342,1.34696189780779,3.40605324483379,0.00128858263667879,0.182712179830983,32,466,"Yes"
"Microvirga.sp..17.mud.1.3",2.18533475246499,1.35641435761215,3.52081792228917,0.00131470131110181,0.182712179830983,32,466,"Yes"
"Moraxella.osloensis",1.58669084763159,1.18918661871833,2.11706708293711,0.00170348896627978,0.211558831833512,306,192,"Yes"
"Vibrio.antiquarius",3.36418050518569,1.5600024602847,7.2549311681252,0.00197418589753778,0.23046646167856,13,485,"Yes"
"Celeribacter.marinus",3.32689062694909,1.53826849984686,7.19523363104923,0.00225661071415497,0.248424093039227,11,487,"Yes"
"Bradyrhizobium.japonicum",0.546739318663268,0.370854693672314,0.806040445685993,0.00229825270243588,0.248424093039227,103,395,"Yes"
"Nakamurella.panacisegetis",2.08712515057828,1.29639522755005,3.36015691943623,0.0024586463995284,0.260929436982678,28,470,"Yes"
"Myroides.profundi",0.618555100011428,0.452222271063083,0.846067158193487,0.00264738800930934,0.275942925184618,152,346,"Yes"
"Geobacter.daltonii",0.513076611168728,0.331640713586346,0.793773496871479,0.00272377925675908,0.277075195337341,83,415,"Yes"
"Citrobacter.sp..NMI7904_11",2.4596907664981,1.36409322669363,4.43523840482703,0.00276976753295266,0.277075195337341,17,481,"Yes"
"Microbulbifer.sp..GL.2",0.44771973463189,0.264330677086148,0.758341646109887,0.00280065727683795,0.277075195337341,63,435,"Yes"
"Streptococcus.sobrinus",2.79536170048501,1.4167337279353,5.51553681715927,0.00303072075979445,0.29037401743594,12,486,"Yes"
"Hungateiclostridium.saccincola",1.91777330367582,1.24683573892288,2.94975058019182,0.00303457513510233,0.29037401743594,40,458,"Yes"
"Psychrobacillus.sp..PB01",1.87239607442138,1.22563055658864,2.86045990014043,0.00372005648817645,0.310199567449799,46,452,"Yes"
